Customer Email;Order Date;Total (DKK)
user378@shop.com;26/01/2024;36.68
user250@shop.com;03/02/2025;38.16
User273@Shop.com;09/04/2025;112.93
User358@Shop.com;16/04/2025;61.44
user231@shop.com;14/05/2025;89.28
user310@shop.com;19/05/2025;50.82
User333@Shop.com;01/06/2025;32.69
User90@Shop.com;15/07/2025;41.66
user23@shop.com;30/09/2025;31.58
user120@shop.com;05/11/2025;50.04
user114@shop.com;30/11/2025;46.02
User349@Shop.com;02/01/2024;-42.83
User365@Shop.com;07/01/2024;37.69
User3@Shop.com;02/02/2024;53.93
user200@shop.com;06/03/2024;75.83
User328@Shop.com;04/06/2024;27.08
user53@shop.com;10/06/2024;53.93
User319@Shop.com;11/06/2024;-27.21
user48@shop.com;30/06/2024;20.43
user187@shop.com;04/07/2024;27.11
User326@Shop.com;09/07/2024;-12.04
User121@Shop.com;16/09/2024;63.81
User137@Shop.com;10/10/2024;36.94
user112@shop.com;19/01/2025;42.37
User288@Shop.com;28/04/2025;77.98
user102@shop.com;02/06/2025;17.55
user396@shop.com;01/11/2025;78.98
user178@shop.com;18/12/2025;17.6
user191@shop.com;09/04/2024;73.89
user202@shop.com;15/06/2024;50.38
User233@Shop.com;25/07/2024;24.51
user221@shop.com;03/08/2024;-66.54
user204@shop.com;08/10/2024;78.59
User398@Shop.com;24/12/2024;76.79
user323@shop.com;16/02/2025;80.74
user317@shop.com;20/03/2025;77.22
user280@shop.com;07/04/2025;14.98
user249@shop.com;15/04/2025;21.83
user137@shop.com;26/07/2025;55.66
User395@Shop.com;28/08/2025;54.3
user187@shop.com;29/03/2024;51.43
User86@Shop.com;14/06/2024;40.87
User338@Shop.com;19/06/2024;74.62
user64@shop.com;29/06/2024;27.8
user343@shop.com;03/07/2024;75.0
user245@shop.com;14/07/2024;46.31
user46@shop.com;17/08/2024;118.55
user18@shop.com;01/10/2024;10.66
User178@Shop.com;15/10/2024;37.98
user15@shop.com;21/11/2024;53.82
User57@Shop.com;06/01/2025;117.16
User206@Shop.com;05/02/2025;42.65
user388@shop.com;20/04/2025;72.67
user187@shop.com;01/10/2025;65.38
User323@Shop.com;20/11/2025;46.54
User366@Shop.com;30/11/2025;10.73
user329@shop.com;18/12/2025;32.65
User252@Shop.com;13/01/2024;86.82
user177@shop.com;22/01/2024;13.72
user206@shop.com;31/03/2024;214.44
user107@shop.com;23/05/2024;-55.88
User199@Shop.com;12/07/2024;35.02
