order_id;order_date;customer_email;country;channel;sku;product;qty;unit_price_dkk;discount;line_total_dkk;status
10359;01-06-2024;mikkel.larsen95@hotmail.com;SE;web;BOT-201;Hiking boots;2;1099;0.0;2198.0;completed
11109;01-06-2024;oliver.petersen92@gmail.com;SE;web;ACC-401;Merino socks;1;129;0.0;129.0;completed
11109;01-06-2024;oliver.petersen92@gmail.com;SE;web;ACC-403;Headlamp;1;349;0.0;349.0;completed
11109;01-06-2024;oliver.petersen92@gmail.com;SE;web;ACC-402;Beanie;1;199;0.0;199.0;completed
11418;01-06-2024;emil.rasmussen35@outlook.dk;DK;store;JKT-101;Shell jacket;2;1299;0.0;2598.0;completed
11418;01-06-2024;Emil.Rasmussen35@Outlook.Dk;DK;store;ACC-402;Beanie;1;199;0.0;199.0;completed
11530;01-06-2024;Mette.Andersen79@Gmail.Com;DK;web;JKT-101;Shell jacket;2;1299;0.1;2338.2;completed
11541;01-06-2024;mette.pedersen65@hotmail.com;NO;store;ACC-403;Headlamp;1;349;0.1;314.1;completed
11541;01-06-2024;mette.pedersen65@hotmail.com;NO;store;ACC-402;Beanie;1;199;0.1;179.1;completed
11957;01-06-2024;magnus.christensen73@mail.dk;DK;app;ACC-401;Merino socks;1;129;0.1;116.1;completed
10307;02-06-2024;Laura.Christensen33@Hotmail.Com;SE;web;ACC-403;Headlamp;1;349;0.0;349.0;completed
10307;02-06-2024;laura.christensen33@hotmail.com;SE;web;JKT-101;Shell jacket;1;1299;0.0;1299.0;completed
10128;03-06-2024;anna.petersen32@hotmail.com;SE;web;ACC-401;Merino socks;1;129;0.0;129.0;completed
10128;03-06-2024;anna.petersen32@hotmail.com;SE;web;JKT-101;Shell jacket;2;1299;0.0;2598.0;completed
11622;03-06-2024;Laura.Jensen10@Yahoo.Dk;NO;app;ACC-403;Headlamp;1;349;0.0;349.0;completed
11940;03-06-2024;anna.madsen59@hotmail.com;NO;web;ACC-401;Merino socks;1;129;0.0;129.0;completed
11940;03-06-2024;anna.madsen59@hotmail.com;NO;web;JKT-101;Shell jacket;1;1299;0.0;1299.0;completed
10092;04-06-2024;Magnus.Nielsen73@Yahoo.Dk;NO;web;ACC-401;Merino socks;1;129;0.0;129.0;completed
